time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-10T15:07:12.330Z,34.154,-117.4248333,12.03,1.93,ml,10,161,0.2114,0.31,ci,ci37824064,2017-03-10T15:10:59.882Z,"7km NNE of Fontana, CA",earthquake,1.37,7.46,0.271,34,automatic,ci,ci
2017-03-10T15:06:28.638Z,62.9005,-149.6816,79.1,1.6,ml,,,,0.88,ak,ak15458857,2017-03-10T15:08:59.369Z,"65km SW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-03-10T14:52:38.160Z,35.5429993,-120.7904968,5.09,1.46,md,12,85,0.1131,0.02,nc,nc72772426,2017-03-10T15:07:02.432Z,"7km W of Templeton, California",earthquake,0.4,1.2,0.44,7,automatic,nc,nc
2017-03-10T14:31:34.090Z,36.4664,-96.8867,2.63,2.9,mb_lg,,75,0.036,0.18,us,us10008865,2017-03-10T14:48:28.040Z,"16km NNW of Pawnee, Oklahoma",earthquake,0.8,4.4,0.065,61,reviewed,us,us
2017-03-10T14:03:30.149Z,38.5382,-119.5204,7.4,1.5,ml,16,89.1,0.498,0.2176,nn,nn00581571,2017-03-10T14:56:17.005Z,"31km SSW of Smith Valley, Nevada",earthquake,,5.9,0.2,13,reviewed,nn,nn
2017-03-10T13:49:55.770Z,36.2843,-97.5143,5,3.1,mb_lg,,34,0.21,0.3,us,us10008863,2017-03-10T14:41:31.401Z,"20km W of Perry, Oklahoma",earthquake,1.1,2,0.06,72,reviewed,us,us
2017-03-10T13:46:39.590Z,11.9584,-69.5903,10,5.5,mb,,24,0.656,1.44,us,us1000885n,2017-03-10T15:14:46.359Z,"54km N of La Vela de Coro, Venezuela",earthquake,5.8,1.8,0.023,658,reviewed,us,us
2017-03-10T13:30:34.700Z,33.9298333,-118.2705,8.54,1.91,ml,33,65,0.0226,0.32,ci,ci37823864,2017-03-10T13:41:28.030Z,"2km NW of Willowbrook, CA",earthquake,0.48,0.97,0.129,25,automatic,ci,ci
2017-03-10T13:25:22.589Z,62.3023,-151.3467,86.5,1.8,ml,,,,0.5,ak,ak15458241,2017-03-10T13:31:16.921Z,"64km W of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-03-10T13:17:09.260Z,39.2568321,-123.1318359,8.06,1.92,md,9,79,0.141,0.04,nc,nc72772406,2017-03-10T13:46:01.259Z,"6km E of Redwood Valley, California",earthquake,0.38,1.2,0.17,6,automatic,nc,nc
